id,name,actor_id,movie_id
1,Batman,1,1
2,Alfred,2,1
3,Ra's Al Ghul,11,1
4,Rachel Dawes,3,1
5,Commissioner Gordon,4,1
6,Bruce Wayne,1,2
7,Joker,5,2
8,Harvey Dent,6,2
9,Alfred,2,2
10,Rachel Dawes,3,2
11,Bruce Wayne,1,3
12,Commissioner Gordon,4,3
13,Bane,7,3
14,John Blake,8,3
15,Selina Kyle,9,3
16,Miranda Tate,10,3
17,Alfred,2,3
